type,success_count,error_count,total_time_ms,avg_classification_time_ms,posts_per_minute,batch_size,efficiency,timestamp,level,uri,error,attempts,disaster_type,classification_time,model_confidence,help_request,action,total_todo,queue_fetched,already_processed
worker_start,,,,,,6.0,,1970-01-21 09:31:22.201882,info,,,,,,,,,,,
processing_start,,,,,,,,1970-01-21 09:31:22.202173,info,,,,,,,,,6.0,6.0,0.0
classification_result,,,,,,,,1970-01-21 09:31:22.202431,info,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3l66vgfigev2l,,,not_relevant,217.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:22.204196,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l66vfzaeav23,,,not_relevant,213.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:22.205988,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l66qz2mrhh2n,,,severe_storm,236.0,0.92,False,processed,,,
classification_result,,,,,,,,1970-01-21 09:31:22.207704,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l66nodmkne2y,,,not_relevant,186.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:22.209494,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l66rrefahl22,,,tornado,233.0,0.95,False,processed,,,
worker_summary,6.0,0.0,9349.0,213.0,38.51,6.0,100.0%,1970-01-21 09:31:22.211230,info,,,,,,,,,,,
classification_result,,,,,,,,1970-01-21 09:31:22.211230,info,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3l66vjnsdqt2v,,,not_relevant,190.0,0.95,False,deleted_not_relevant,,,
worker_start,,,,,,6.0,,1970-01-21 09:31:22.500877,info,,,,,,,,,,,
processing_start,,,,,,,,1970-01-21 09:31:22.501567,info,,,,,,,,,6.0,6.0,0.0
classification_result,,,,,,,,1970-01-21 09:31:22.501803,info,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3l66vnjkc652d,,,not_relevant,200.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:22.503526,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6avbkddvk2m,,,not_relevant,188.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:22.505283,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6as4ffvab2f,,,not_relevant,227.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:22.507041,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l66y4kioyj2r,,,not_relevant,229.0,0.85,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:22.508865,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6augzuaw222,,,hurricane,258.0,0.85,False,processed,,,
worker_summary,6.0,0.0,9780.0,225.0,36.81,6.0,100.0%,1970-01-21 09:31:22.510657,info,,,,,,,,,,,
classification_result,,,,,,,,1970-01-21 09:31:22.510657,info,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3l66vr2cklg2s,,,not_relevant,246.0,0.95,False,deleted_not_relevant,,,
worker_start,,,,,,6.0,,1970-01-21 09:31:22.800343,info,,,,,,,,,,,
processing_start,,,,,,,,1970-01-21 09:31:22.800641,info,,,,,,,,,6.0,6.0,0.0
processing_start,,,,,,,,1970-01-21 09:31:22.800641,info,,,,,,,,,6.0,6.0,0.0
classification_result,,,,,,,,1970-01-21 09:31:22.800956,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6b5md2nhg2f,,,not_relevant,265.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:22.802779,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6b2omtnql2y,,,not_relevant,236.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:22.804490,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6ay2rs3xg2v,,,not_relevant,183.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:22.804490,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6ay2rs3xg2v,,,not_relevant,183.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:22.806278,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6axcwqusw26,,,flood,212.0,0.92,False,processed,,,
classification_result,,,,,,,,1970-01-21 09:31:22.806278,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6axcwqusw26,,,flood,212.0,0.92,False,processed,,,
classification_result,,,,,,,,1970-01-21 09:31:22.808032,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6azdvgf3s2t,,,not_relevant,227.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:22.808032,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6azdvgf3s2t,,,not_relevant,227.0,0.95,False,deleted_not_relevant,,,
worker_summary,6.0,0.0,9473.0,228.0,38.00,6.0,100.0%,1970-01-21 09:31:22.809815,info,,,,,,,,,,,
classification_result,,,,,,,,1970-01-21 09:31:22.809815,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6b5ymh4zv2p,,,not_relevant,245.0,0.95,False,deleted_not_relevant,,,
worker_start,,,,,,6.0,,1970-01-21 09:31:23.101429,info,,,,,,,,,,,
processing_start,,,,,,,,1970-01-21 09:31:23.102471,info,,,,,,,,,6.0,6.0,0.0
classification_result,,,,,,,,1970-01-21 09:31:23.102791,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6ddliiaw722,,,not_relevant,251.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:23.104592,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6dablfysg2k,,,not_relevant,215.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:23.106342,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6ba3r6y722l,,,not_relevant,189.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:23.108152,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6b6gann6e22,,,not_relevant,232.0,0.85,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:23.110040,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6bctwt5ir24,,,hurricane,218.0,0.9,False,processed,,,
classification_result,,,,,,,,1970-01-21 09:31:23.111870,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6denvucih22,,,not_relevant,258.0,0.95,False,deleted_not_relevant,,,
worker_summary,6.0,0.0,10443.0,227.0,34.47,6.0,100.0%,1970-01-21 09:31:23.111870,info,,,,,,,,,,,
worker_start,,,,,,6.0,,1970-01-21 09:31:23.401308,info,,,,,,,,,,,
processing_start,,,,,,,,1970-01-21 09:31:23.401439,info,,,,,,,,,6.0,6.0,0.0
classification_result,,,,,,,,1970-01-21 09:31:23.401797,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6doikxur62p,,,not_relevant,297.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:23.403612,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6dmfkc34k24,,,not_relevant,260.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:23.405356,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6diihfonh22,,,not_relevant,217.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:23.407140,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6dgcjt7m22f,,,not_relevant,246.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:23.408845,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6dkqplwnl2h,,,not_relevant,179.0,0.95,False,deleted_not_relevant,,,
worker_summary,6.0,0.0,9285.0,236.0,38.77,6.0,100.0%,1970-01-21 09:31:23.410594,info,,,,,,,,,,,
classification_result,,,,,,,,1970-01-21 09:31:23.410594,info,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3l6dplwluhb2f,,,not_relevant,214.0,0.95,False,deleted_not_relevant,,,
worker_start,,,,,,6.0,,1970-01-21 09:31:23.700156,info,,,,,,,,,,,
processing_start,,,,,,,,1970-01-21 09:31:23.700603,info,,,,,,,,,6.0,6.0,0.0
classification_result,,,,,,,,1970-01-21 09:31:23.700873,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6dvgpoziu26,,,not_relevant,223.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:23.702621,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6dtykzora22,,,not_relevant,191.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:23.704381,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6ds2fqudm22,,,not_relevant,222.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:23.706166,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6dqb3ji4o22,,,not_relevant,255.0,0.85,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:23.707959,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6dsxa44mm22,,,not_relevant,253.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:23.709720,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6dwy5dd2k2n,,,not_relevant,207.0,0.95,False,deleted_not_relevant,,,
worker_summary,6.0,0.0,9567.0,225.0,37.63,6.0,100.0%,1970-01-21 09:31:23.709721,info,,,,,,,,,,,
worker_start,,,,,,6.0,,1970-01-21 09:31:24.001225,info,,,,,,,,,,,
worker_start,,,,,,6.0,,1970-01-21 09:31:24.001225,info,,,,,,,,,,,
processing_start,,,,,,,,1970-01-21 09:31:24.001386,info,,,,,,,,,6.0,6.0,0.0
processing_start,,,,,,,,1970-01-21 09:31:24.001386,info,,,,,,,,,6.0,6.0,0.0
classification_result,,,,,,,,1970-01-21 09:31:24.001621,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6fxiqcbga22,,,not_relevant,201.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:24.001621,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6fxiqcbga22,,,not_relevant,201.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:24.003375,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6fuylwwcg2m,,,not_relevant,226.0,0.85,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:24.003375,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6fuylwwcg2m,,,not_relevant,226.0,0.85,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:24.005217,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6fr2ap4ku2m,,,hurricane,275.0,0.92,False,processed,,,
classification_result,,,,,,,,1970-01-21 09:31:24.005217,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6fr2ap4ku2m,,,hurricane,275.0,0.92,False,processed,,,
classification_result,,,,,,,,1970-01-21 09:31:24.006936,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6fprs5mav2z,,,not_relevant,185.0,0.95,False,deleted_not_relevant,,,
classification_result,,,,,,,,1970-01-21 09:31:24.008782,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6fsuxctln2z,,,flood,286.0,0.92,False,processed,,,
classification_result,,,,,,,,1970-01-21 09:31:24.010545,info,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3l6fy7iyuim2x,,,not_relevant,220.0,0.85,False,deleted_not_relevant,,,
worker_summary,6.0,0.0,9320.0,232.0,38.63,6.0,100.0%,1970-01-21 09:31:24.010545,info,,,,,,,,,,,
worker_start,,,,,,6.0,,1970-01-21 09:31:24.300244,info,,,,,,,,,,,
processing_start,,,,,,,,1970-01-21 09:31:24.300768,info,,,,,,,,,6.0,6.0,0.0
