location_mentioned,latitude,model_confidence,longitude,original_text,uri,author,indexed_at,help_request,disaster_type,severity_level,processed_at
California,,0.75,,"🔥 Claire Tortorelli, Derek Young, Hugh Safford, Nina Venuti and Andrew Latimer collaborated on a discussion of how early post-fire surveys predict long-term conifer recovery in California's dry forests while microclimate and shrubs can influence outcomes.
▶️ www.sciencedirect.com/science/arti...",at://did:plc:2aqd65hiv7gnu4r3oe437l2h/app.bsky.feed.post/3ld2buoja422j,ucdavisplants.bsky.social,2024-12-11 17:30:50.362+00,false,fire,medium,2025-10-29 08:17:00.567+00
LA County,34.0522,0.95,-118.2437,"Prepare now for the incoming storm that's set to impact LA County from Wednesday-Friday, with the heaviest rain likely on Thursday.

Sign up for emergency alerts: http://alert.lacounty.gov/

Get preparedness tips: http://ready.lacounty.gov/

Find sandbags: http://pw.lacounty.gov/dsg/sandbags (1/2)",at://did:plc:7uqto6cz42z6neif6ur4nbjg/app.bsky.feed.post/3lhx73oryor2w,fema.govmirrors.com,2025-02-12 03:09:01.05+00,false,severe_storm,high,2025-10-29 16:33:01.109+00
,,0.75,,2/2 takes 6 to 12 inches of water to knock you off your feet. Stay informed by monitoring local radio and television for updates. http://weather.gov/safety/,at://did:plc:7uqto6cz42z6neif6ur4nbjg/app.bsky.feed.post/3li3elffppe2h,fema.govmirrors.com,2025-02-13 18:57:54.96+00,false,flood,medium,2025-10-29 16:53:00.686+00
"Asheville, North Carolina",35.6311,0.85,-82.5526,"Debris removal is underway at the historic https://x.com/RiversideCemNC in Asheville, North Carolina. https://x.com/USACEHQ partnered with https://x.com/search?q=%23AshBritt for this clearing of Helene damage. Progress!",at://did:plc:7uqto6cz42z6neif6ur4nbjg/app.bsky.feed.post/3li3jwx7msx2m,fema.govmirrors.com,2025-02-13 20:33:51.757+00,false,other_disaster,medium,2025-10-29 16:55:00.573+00
Ohio Valley,,0.85,,2/2 http://fema.gov/press-release/20250217/fema-supports-state-and-local-response-ohio-valley-flooding,at://did:plc:7uqto6cz42z6neif6ur4nbjg/app.bsky.feed.post/3lifu5gkguw2l,fema.govmirrors.com,2025-02-17 23:03:03.454+00,false,flood,medium,2025-10-29 17:29:00.601+00
null,,0.85,,"#UCCE scientists and partners have found that the people who produce our food need support, especially in the areas of mental and physical well-being, to recover from increasingly widespread #wildfire. 
More: bit.ly/3W7f3ea",at://did:plc:afzcvofyfbzhlu77wsmy7r3w/app.bsky.feed.post/3lf44sp7zcc2o,ucanr.edu,2025-01-06 21:55:56.957+00,false,fire,medium,2025-10-29 10:31:00.605+00
"PalisadesFire, EatonFire",,0.85,,"Daniel Swain's @weatherwest.bsky.social last live stream for the day starts at 5:30 pm PST.  
www.youtube.com/live/uRnFQXK...
#CAwx #CAfire #PalisadesFire #EatonFire",at://did:plc:afzcvofyfbzhlu77wsmy7r3w/app.bsky.feed.post/3lfbiczhlvk2a,ucanr.edu,2025-01-09 01:05:12.848+00,false,fire,medium,2025-10-29 10:45:02.161+00
Southern California,,0.85,,"Tune in TODAY at 3 pm for Daniel Swain's livestream focusing on the latest on the #SoCal wildfires and potential rainfall this weekend.  #CAwx #CAFire 
@weatherwest.bsky.social",at://did:plc:afzcvofyfbzhlu77wsmy7r3w/app.bsky.feed.post/3lgiykbxapk22,ucanr.edu,2025-01-24 18:09:26.648+00,false,fire,medium,2025-10-29 13:37:00.529+00
California,,0.85,,"1/3

🚨My office has put togeher a comprehensive California Wildfire Recovery Resource Guide (similar to our COVID resource guide). It will be updated frequently as we hear of new resources & programs. Please share with others. 

Link: treasurer.ca.gov/STO-Wildfire...",at://did:plc:bau6efbgjjaxt4cifzgykska/app.bsky.feed.post/3lfsnbcofxs2i,fionamacpa.bsky.social,2025-01-15 20:49:04.25+00,false,other_disaster,medium,2025-10-29 11:55:01.684+00
"E. Louisiana Ave and S. Race Street, Denver",39.7392,0.92,-104.9847,#TRAFFIC: #DPD is investigating a traffic crash with serious injuries involving a motorist and a pedestrian in the area of E. Louisiana Ave and S. Race Street. Expect delays in the area. #Denver,at://did:plc:gdtx26kslrh3b65wen2jwrc2/app.bsky.feed.post/3lhhggn7qyk2s,denverpolice.bsky.social,2025-02-05 20:37:48.354+00,false,auto_accident,medium,2025-10-29 15:37:00.792+00
University of Florida,,0.85,,"Researchers at the University of Florida found that nature-based ""living shoreline"" projects significantly reduced wave energy and were largely undamaged during Hurricane Idalia last year.

www.npr.org/2024/02/15/1...",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3klhug327t32u,npr.org,2024-02-15 17:02:35.055+00,false,hurricane,medium,2025-10-29 00:29:01.521+00
Kansas City,39.0997,0.95,-94.5786,"BREAKING NEWS: Wednesday's shooting at the Kansas City Chiefs Super Bowl celebration does not appear to have been an act of terrorism or homegrown domestic violence, according to the city's police chief.

www.npr.org/2024/02/14/1...",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3klhyxca4n42g,npr.org,2024-02-15 18:23:48.066+00,false,shooting,high,2025-10-29 00:33:01.125+00
Kansas City,39.0997,0.95,-94.5786,"About half those injured in the Kansas City Super Bowl parade shooting were children. With such incidents continuing to happen, some parents now think twice about bringing kids to big, crowded events.

www.npr.org/2024/02/17/1...",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3klmtmbkiec2h,npr.org,2024-02-17 16:31:28.345+00,false,shooting,high,2025-10-29 00:54:01.601+00
"Burnsville, south Twin Cities",,0.95,,"Two Burnsville police officers and a paramedic were shot and killed early Sunday morning while responding to a domestic abuse call for assistance in the south Twin Cities suburb.

www.mprnews.org/story/2024/0...",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3klpodci5hp2q,npr.org,2024-02-18 19:34:57.878+00,false,shooting,high,2025-10-29 00:59:01.013+00
Southern California,34.0522,0.92,-118.2437,"Much of Southern California is under a flood watch as another multiday winter storm heads toward our already rain-soaked region starting today, bringing what the National Weather Service is calling ""a significant risk of flooding, as well as mudslides and landslides.""

laist.com/news/climate...",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3klpodupz3u27,npr.org,2024-02-18 19:35:17.093+00,false,flood,high,2025-10-29 00:59:01.343+00
L.A. County,34.0522,0.9,-118.2437,"Most of L.A. County is currently under a flood watch.

laist.com/news/climate...",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3klru4vqqci2h,npr.org,2024-02-19 16:24:05.082+00,false,flood,medium,2025-10-29 01:00:01.576+00
Lahaina and Kula,20.7373,0.95,-156.4667,"Six months after the fires in Lahaina and Kula, the Souzas, like thousands of other displaced families, are trying to navigate a complicated disaster recovery process amidst a housing crisis that pre-existed the fires, but has been worsened by them.

www.npr.org/2024/02/19/1...",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3klryzgkhuz2q,npr.org,2024-02-19 17:51:37.066+00,false,fire,high,2025-10-29 01:03:01.371+00
Chiefs victory parade,,0.95,,Two adults have been charged with felony murder in connection with the deadly shooting that left one dead at the Chiefs victory parade (via KCUR).,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3kluvnabwnn2n,npr.org,2024-02-20 21:29:05.958+00,false,shooting,high,2025-10-29 01:07:00.746+00
Colorado,,0.95,,"For the first time, data about gun violence and use in Colorado has been gathered in one place so people can see the stark numbers.

Since 2014, Colorado has endured 60 mass shootings that killed 88 people and injured 239. In 2022 alone, there were 13 mass shootings, with 33 killed and 41 injured.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3kme376agcx2m,npr.org,2024-02-26 22:18:31.429+00,false,shooting,high,2025-10-29 01:31:01.428+00
Palestinian,,0.85,,The Palestinian architect and mother of two could hear Israeli fighter jets rumbling overhead as air strikes took out the building next to hers. Bodies were being pulled from the rubble. She was trying to shield her children from scenes of death all around.,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3kmlcd5rbw72e,npr.org,2024-02-29 19:14:40.484+00,false,other_disaster,high,2025-10-29 01:37:01.586+00
nationwide,,0.85,,"A ransomware attack is disrupting pharmacies and hospitals nationwide, leaving patients with problems filling prescriptions or seeking medical treatment.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3kmobs42gjv23,npr.org,2024-03-01 23:43:07.655+00,false,other_disaster,high,2025-10-29 01:43:01.195+00
Schuylerville,,0.95,,Kevin Monahan was sentenced to 25 years to life for the murder of a Schuylerville woman this morning in a driveway shooting last year that garnered national attention.,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3kmoda2d3vm2v,npr.org,2024-03-02 00:08:49.446+00,false,shooting,high,2025-10-29 01:44:00.801+00
Texas Panhandle,35,0.92,-102,"As the wildfires in the Texas Panhandle continue leaving scorched homes, barns and livestock in their wake, some residents are beginning to glimpse what recovery will look like when the blazes are finally extinguished.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3kmodrda7li2d,npr.org,2024-03-02 00:18:28.61+00,false,other_disaster,high,2025-10-29 01:44:01.137+00
"Sierra Nevada, Yosemite National Park, Lake Tahoe",,0.95,,"A dangerous blizzard expected to bring up to 10 feet of snow to parts of the Sierra Nevada has forced the closure of Yosemite National Park, at least nine Lake Tahoe ski resorts and a major interstate and disrupted power to thousands.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3kmq45cvqg527,npr.org,2024-03-02 17:07:20.781+00,false,severe_storm,high,2025-10-29 01:45:01.982+00
Mexican border,,0.85,,Three National Guard soldiers and a Border Patrol agent were on board when a helicopter crashed near the Mexican border. A soldier was seriously injured.,at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3knbp33ueh32c,npr.org,2024-03-09 17:01:22.863+00,false,other_disaster,high,2025-10-29 02:04:01.991+00
Chicago,41.8781,0.92,-87.6298,"NPR's Scott Simon recounts the heroic actions of a Chicago bus driver and his passengers, who saw buildings on fire at 2 a.m. and raced to warn residents.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3knc2k7qfhi2f,npr.org,2024-03-09 20:26:41.619+00,false,fire,high,2025-10-29 02:06:01.409+00
New Mexico,,0.95,,"A felony trial for Alec Baldwin is set to begin in four months, as prosecutors in New Mexico pursue charges of involuntary manslaughter against the actor over the shooting death of cinematographer Halyna Hutchins on the set of the film Rust in 2021.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3knchwq47bu2j,npr.org,2024-03-10 00:26:20.223+00,false,shooting,high,2025-10-29 02:08:01.076+00
Kansas City,39.0997,0.95,-94.5786,"A Kansas family remembers Valentine's Day as the start of panic attacks, life-altering trauma and waking to nightmares of gunfire. They wonder how they'll recover from the Kansas City parade shooting.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3knqt722nzt2r,npr.org,2024-03-15 17:25:06.127+00,false,shooting,high,2025-10-29 02:17:00.981+00
Middletown Township,,0.95,,"BREAKING NEWS: Middletown Township Police Department said ""several"" people were shot and the shooter remains at large.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3knt6kt6pxl2a,npr.org,2024-03-16 15:53:52.458+00,false,shooting,high,2025-10-29 02:22:01.273+00
"Falls Township, Pennsylvania",40.1877,0.95,-75.1966,"UPDATE: At least three people were killed in shootings in Falls Township, a Pennsylvania suburb near Trenton, N.J., on Saturday morning. A manhunt is currently underway.",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3kntdlnxks72t,npr.org,2024-03-16 17:23:49.257+00,false,shooting,high,2025-10-29 02:23:02.093+00
"Falls Township, Pa., north Trenton, N.J.",,0.95,,"UPDATE: Police have arrested a man suspected of killing three people in Falls Township, Pa., on Saturday.

The Trenton Police Department said he surrendered peacefully in north Trenton, N.J., in a different location than the house that police had surrounded.

www.npr.org/2024/03/16/1...",at://did:plc:ln72v57ivz2g46uqf4xxqiuh/app.bsky.feed.post/3kntu5r72e42c,npr.org,2024-03-16 22:20:16.429+00,false,shooting,high,2025-10-29 02:25:01.166+00
